pitchfork_id,link,artist,album,release_year,score,Unnamed: 6
7869,/reviews/albums/19539-brian-eno-karl-hyde-high-life/,Brian Eno||Karl Hyde,High Life,2014,8.5,
7870,/reviews/albums/19525-motion-sickness-of-time-travel-alpha-piscium/,Motion Sickness of Time Travel,Alpha Piscium,2014,7.8,
7871,/reviews/albums/19541-ooioo-gamel/,OOIOO,Gamel,2014,7.2,
7872,/reviews/albums/19535-luke-abbott-wysing-forest/,Luke Abbott,Wysing Forest,2014,6.7,
7873,/reviews/albums/19540-beverly-careers/,Beverly,Careers,2014,6.4,
7874,/reviews/albums/19487-mark-kozelek-live-at-biko/,Mark Kozelek,Live at Biko,2014,7.8,
7875,/reviews/albums/19490-dalhous-will-to-be-well/,Dalhous,Will To Be Well,2014,7.5,
7876,/reviews/albums/19485-eaters-eaters/,Eaters,Eaters,2014,6.4,
7877,/reviews/albums/19551-cabaret-voltaire-7885-electropunk-to-technopop-1978-1985/,Cabaret Voltaire,#7885 (Electropunk to Technopop 1978-1985),2014,7.8,
7878,/reviews/albums/19475-plastikman-ex/,Plastikman,EX,2014,6.5,
7879,/reviews/albums/19574-aphex-twin-caustic-window/,Caustic Window,Caustic Window LP,2014,8.1,
7880,/reviews/albums/19548-old-97s-most-messed-up/,Old 97's,Most Messed Up,2014,6.4,
7881,/reviews/albums/19565-trap-them-blissfucker/,Trap Them,Blissfucker,2014,7.3,
7882,/reviews/albums/19483-mike-cooper-trout-steelplaces-i-knowthe-machine-gun-co-with-mike-cooper/,Mike Cooper,Trout Steel,2014,8.6,
7883,/reviews/albums/19441-circulatory-system-mosaics-within-mosaics/,Circulatory System,Mosaics Within Mosaics,2014,7.9,
7884,/reviews/albums/19484-riff-raff-neon-icon/,RiFF RAFF,NEON iCON,2014,5.4,
7885,/reviews/albums/19558-ulises-conti-the-greeks-believed-that-the-stars-were-small-holes-where-the-gods-listened-to-men/,Ulises Conti,The Greeks Believed That the Stars Were Small Holes Where the Gods Listened to Men,2014,7.5,
7886,/reviews/albums/19537-white-reaper-white-reaper-ep/,White Reaper,White Reaper EP,2014,6.6,
7887,/reviews/albums/19434-craig-leon-anthology-of-interplanetary-folk-music-vol-1-nommosvisiting/,Craig Leon,Anthology of Interplanetary Folk Music Vol. 1: Nommos/Visiting,2014,8.4,
7888,/reviews/albums/19438-total-control-typical-system/,Total Control,Typical System,2014,8,
7889,/reviews/albums/19481-ab-soul-these-days/,Ab-Soul,These Days...,2014,7.7,
7890,/reviews/albums/19381-eyehategod-eyehategod/,Eyehategod,Eyehategod,2014,8,
7891,/reviews/albums/19470-peter-matthew-bauer-liberation/,Peter Matthew Bauer,Liberation!,2014,7.2,
7892,/reviews/albums/19455-alexis-taylor-await-barbarians/,Alexis Taylor,Await Barbarians,2014,5.9,
7893,/reviews/albums/19443-black-bananas-electric-black-wall/,Black Bananas,Electric Brick Wall,2014,7.7,
7894,/reviews/albums/19471-once-more-round-the-sun/,Mastodon,Once More 'Round the Sun,2014,6.3,
7895,/reviews/albums/19486-harassor-into-unknown-depths/,Harassor,Into Unknown Depths,2014,7.4,
7896,/reviews/albums/19489-jobriath-as-the-river-flows/,Jobriath,As the River Flows,2014,7.5,
7897,/reviews/albums/19439-m-geddes-gengras-ishi/,M. Geddes Gengras,Ishi,2014,7.6,
7898,/reviews/albums/19536-strand-of-oaks-heal/,Strand of Oaks,HEAL,2014,7.9,
7899,/reviews/albums/19478-a-sunny-day-in-glasgow-sea-when-absent/,A Sunny Day in Glasgow,Sea When Absent,2014,8.5,
7900,/reviews/albums/19474-matteah-baim-falling-theater/,Matteah Baim,Falling Theater,2014,7.6,
7901,/reviews/albums/19436-dan-melchior-und-das-menace-hunger/,Dan Melchior Und Das Menace,Hunger,2014,6.9,
7902,/reviews/albums/19469-horse-meat-disco-volume-iv/,null -index error,Horse Meat Disco Volume IV,2014,7.7,
7903,/reviews/albums/19301-lower-seek-warmer-climes/,Lower,Seek Warmer Climes,2014,6.9,
7904,/reviews/albums/19433-how-to-dress-well-what-is-this-heart/,How to Dress Well,"""What Is This Heart?""",2014,8.8,
7905,/reviews/albums/19457-dead-congregation-promulgation-of-the-fall/,Dead Congregation,Promulgation of the Fall,2014,7.9,
7906,/reviews/albums/19468-willie-nelson-band-of-brothers/,Willie Nelson,Band of Brothers,2014,7.4,
7907,/reviews/albums/19477-open-mike-eagle-dark-comedy/,Open Mike Eagle,Dark Comedy,2014,8,
7908,/reviews/albums/19454-the-soft-pink-truth-why-do-the-heathen-rage/,The Soft Pink Truth,Why Do the Heathen Rage?,2014,8.2,
7909,/reviews/albums/19465-the-knife-shaken-up-versions/,The Knife,Shaken-Up Versions,2014,7.3,
7910,/reviews/albums/19106-nightfell-the-living-ever-mourn/,Nightfell,The Living Ever Mourn,2014,7.5,
7911,/reviews/albums/19467-brian-reitzell-auto-music/,Brian Reitzell,Auto Music,2014,6.5,
7912,/reviews/albums/19446-richard-reed-parry-music-for-heart-and-breath/,Richard Reed Parry,Music for Heart and Breath,2014,8,
7913,/reviews/albums/19450-sam-smith-in-the-lonely-hour/,Sam Smith,In the Lonely Hour,2014,5.5,
7914,/reviews/albums/19458-lone-reality-testing/,Lone,Reality Testing,2014,8,
7915,/reviews/albums/19462-alex-g-dsu/,Alex G,DSU,2014,7.9,
7916,/reviews/albums/19461-big-freedia-just-be-free/,Big Freedia,Just Be Free,2014,7.8,
7917,/reviews/albums/19473-devonte-hynes-palo-alto-score/,Devonté Hynes,Palo Alto: Original Motion Picture Score,2014,5.5,
7918,/reviews/albums/19466-mogwai-come-on-die-young-deluxe-edition/,Mogwai,Come On Die Young,2014,8.3,
7919,/reviews/albums/19453-the-antlers-familiars/,The Antlers,Familiars,2014,7.8,
7920,/reviews/albums/19451-donnie-joe-emerson-still-dreamin-wild-the-lost-recordings-1979-81/,Donnie & Joe Emerson,Still Dreamin' Wild: the Lost Recordings 1979-81,2014,6.3,
7921,/reviews/albums/19452-the-felice-brothers-favorite-waitress/,The Felice Brothers,Favorite Waitress,2014,5.6,
7922,/reviews/albums/19459-capitol-city-soul-the-way-out-label/,null -index error,Eccentric Soul: Capitol City Soul,2014,7.7,
7923,/reviews/albums/19300-boris-noise/,Boris,Noise,2014,7.8,
7924,/reviews/albums/19460-white-lung-deep-fantasy/,White Lung,Deep Fantasy,2014,8.6,
7925,/reviews/albums/19370-yaitw-when-life-comes-to-death/,YAITW,When Life Comes to Death,2014,5.5,
7926,/reviews/albums/19456-martyn-the-air-between-words/,Martyn,The Air Between Words,2014,6.6,
7927,/reviews/albums/19408-klaxons-love-frequency/,Klaxons,Love Frequency,2014,5.1,
7928,/reviews/albums/19399-mariah-carey-me-i-am-mariahthe-elusive-chanteuse/,Mariah Carey,Me. I Am Mariah...the Elusive Chanteuse,2014,7.7,
7929,/reviews/albums/19449-lana-del-rey-ultraviolence/,Lana Del Rey,Ultraviolence,2014,7.1,
7930,/reviews/albums/19373-crowbar-symmetry-in-black/,Crowbar,Symmetry in Black,2014,7.3,
7931,/reviews/albums/19379-kyle-bobby-dunn-kyle-bobby-dunn-and-the-infinite-sadness/,Kyle Bobby Dunn,Kyle Bobby Dunn & the Infinite Sadness,2014,7.8,
7932,/reviews/albums/19431-clipping-clppng/,clipping.,CLPPNG,2014,5.6,
7933,/reviews/albums/19409-julianna-barwick-rosabi-ep/,Julianna Barwick,Rosabi EP,2014,7.6,
7934,/reviews/albums/19472-death-grips-niggas-on-the-moon/,Death Grips,Niggas on the Moon,2014,6.7,
7935,/reviews/albums/19364-stick-against-stone-the-oregon-bootleg-tapes/,Stick Against Stone,The Oregon Bootleg Tapes,2014,7.3,
7936,/reviews/albums/19378-enabler-la-fin-absolute-du-monde/,Enabler,La Fin Absolue Du Monde,2014,7,
7937,/reviews/albums/19422-chris-schlarb-making-the-saint/,Chris Schlarb,Making the Saint,2014,6.3,
7938,/reviews/albums/19342-first-aid-kit-stay-gold/,First Aid Kit,Stay Gold,2014,7.3,
7939,/reviews/albums/19418-led-zeppelin-led-zeppelin-ii-led-zeppelin-iii/,Led Zeppelin,Led Zeppelin,2014,9.2,
7940,/reviews/albums/19445-alice-boman-ep-ii-skisser/,Alice Boman,EP II (+ Skisser),2014,5.7,
7941,/reviews/albums/19448-wife-whats-between/,WIFE,What's Between,2014,6,
7942,/reviews/albums/19444-the-atlas-moth-the-old-believer/,The Atlas Moth,The Old Believer,2014,6.7,
7943,/reviews/albums/19432-tomas-barfod-love-me/,Tomas Barfod,Love Me,2014,7.1,
7944,/reviews/albums/19427-the-fresh-onlys-house-of-spirits/,The Fresh & Onlys,House of Spirits,2014,7,
7945,/reviews/albums/19430-craft-spells-nausea/,Craft Spells,Nausea,2014,5.8,
7946,/reviews/albums/19341-dub-thompson-9-songs/,Dub Thompson,9 Songs,2014,6.7,
7947,/reviews/albums/19447-chrissie-hynde-stockholm/,Chrissie Hynde,Stockholm,2014,5.8,
7948,/reviews/albums/19426-popcaan-where-we-come-from/,Popcaan,Where We Come From,2014,8,
7949,/reviews/albums/19423-c86/,null -index error,C86,2014,9.2,
7950,/reviews/albums/19360-watter-this-world/,Watter,This World,2014,7,
7951,/reviews/albums/19424-lust-for-youth-international/,Lust for Youth,International,2014,6.7,
7952,/reviews/albums/19421-tombs-savage-gold/,Tombs,Savage Gold,2014,8.3,
7953,/reviews/albums/19425-shamir-northtown-ep/,Shamir,Northtown EP,2014,7.3,
7954,/reviews/albums/19420-jack-white-lazaretto/,Jack White,Lazaretto,2014,7.1,
7955,/reviews/albums/19380-mayhem-esoteric-warfare/,Mayhem,Esoteric Warfare,2014,7.6,
7956,/reviews/albums/19374-sebastien-tellier-laventura/,Sébastien Tellier,L'Aventura,2014,7.4,
7957,/reviews/albums/19419-priests-bodies-and-control-and-money-and-power/,Priests,Bodies and Control and Money and Power,2014,7.3,
7958,/reviews/albums/19401-hamilton-leithauser-black-hours/,Hamilton Leithauser,Black Hours,2014,7.4,
7959,/reviews/albums/19429-50-cent-animal-ambition/,50 Cent,Animal Ambition,2014,4.9,
7960,/reviews/albums/19359-lee-bains-iii-the-glory-fires-dereconstructed/,Lee Bains III & the Glory Fires,Dereconstructed,2014,4.5,
7961,/reviews/albums/19376-well-mtysd-the-revenge-of-the-african-booty-scratcher/,Well$,MTYSD: The Revenge of the African Booty Scratcher,2014,6.5,
7962,/reviews/albums/19375-obn-iiis-third-time-to-harm/,OBN IIIs,Third Time to Harm,2014,7,
7963,/reviews/albums/19406-taylor-mcferrin-early-riser/,Taylor McFerrin,Early Riser,2014,6.8,
7964,/reviews/albums/19411-morrissey-vauxhall-and-i/,Morrissey,Vauxhall and I,2014,7.8,
7965,/reviews/albums/19369-david-lang-love-fail/,David Lang,Love Fail,2014,7.8,
7966,/reviews/albums/19288-tom-carter-pat-murano-four-infernal-rivers/,Tom Carter||Pat Murano,Four Infernal Rivers,2014,8,
7967,/reviews/albums/19412-buzz-osborne-this-machine-kills-artists/,"Buzz ""King Buzzo"" Osborne",This Machine Kills Artists,2014,6.4,
7968,/reviews/albums/19410-gold-bears-dalliance/,Gold-Bears,Dalliance,2014,7.7,
7969,/reviews/albums/19403-parquet-courts-sunbathing-animal/,Parquet Courts,Sunbathing Animal,2014,8.6,
7970,/reviews/albums/19304-lee-fields-the-expressions-emma-jean/,Lee Fields & the Expressions,Emma Jean,2014,7.5,
7971,/reviews/albums/19416-ned-doheny-separate-oceans/,Ned Doheny,Separate Oceans,2014,7.9,
7972,/reviews/albums/19428-tigers-jaw-charmer/,Tigers Jaw,Charmer,2014,7.1,
7973,/reviews/albums/19405-clap-your-hands-say-yeah-only-run/,Clap Your Hands Say Yeah,Only Run,2014,5.8,
7974,/reviews/albums/19407-soundgarden-superunknown/,Soundgarden,Superunknown,2014,8.5,
7975,/reviews/albums/19392-copeland-because-im-worth-it/,Copeland,Because I'm Worth It,2014,7.1,
7976,/reviews/albums/19402-dj-sprinkles-midtown-120-blues/,DJ Sprinkles,Midtown 120 Blues,2014,8.5,
7977,/reviews/albums/19404-bob-mould-beauty-ruin/,Bob Mould,Beauty & Ruin,2014,7.3,
7978,/reviews/albums/19417-the-orwells-disgraceland/,The Orwells,Disgraceland,2014,6.2,
7979,/reviews/albums/19400-fucked-up-glass-boys/,Fucked Up,Glass Boys,2014,7,
7980,/reviews/albums/19372-officer-dead-unique/,Officer!,Dead Unique,2014,8,
7981,/reviews/albums/19310-strange-breaks-mr-thing-iii/,null -index error,Strange Breaks & Mr. Thing III,2014,7.8,
7982,/reviews/albums/19396-hercules-and-love-affair-the-feast-of-the-broken-heart/,Hercules and Love Affair,The Feast of the Broken Heart,2014,7.6,
7983,/reviews/albums/19398-trash-talk-no-peace/,Trash Talk,No Peace,2014,7.7,
7984,/reviews/albums/19302-ben-frost-a-u-r-o-r-a/,Ben Frost,A U R O R A,2014,8.5,
7985,/reviews/albums/19339-leslie-winer-witch/,Leslie Winer,Witch,2014,7.6,
7986,/reviews/albums/19413-g-side-gz-ii-godz/,G-Side,Gz II Godz,2014,7.2,
7987,/reviews/albums/19367-napolian-incursio/,Napolian,Incursio,2014,7.3,
7988,/reviews/albums/19377-son-lux-alternate-worlds-ep/,Son Lux,Alternate Worlds EP,2014,6.5,
7989,/reviews/albums/19311-hundred-waters-the-moon-rang-like-a-bell/,Hundred Waters,The Moon Rang Like A Bell,2014,8.3,
7990,/reviews/albums/19387-k-leimer-a-period-of-review-original-recordings-1975-1983/,K. Leimer,A Period of Review (Original Recordings: 1975-1983),2014,8.2,
7991,/reviews/albums/19397-popstrangers-fortuna/,Popstrangers,Fortuna,2014,6.9,
7992,/reviews/albums/19383-haunted-hearts-initiation/,Haunted Hearts,Initiation,2014,6.4,
7993,/reviews/albums/19414-sylvan-esso-sylvan-esso/,Sylvan Esso,Sylvan Esso,2014,6.2,
7994,/reviews/albums/19358-royksopp-robyn-do-it-again/,Röyksopp||Robyn,Do It Again,2014,7.7,
7995,/reviews/albums/19371-wheedles-groove-seattle-funk-soul-modern-boogie-volume-ii-1972-1987/,null -index error,"Wheedle's Groove: Seattle Funk, Soul & Modern Boogie: Volume II 1972-1987",2014,8.1,
7996,/reviews/albums/19349-oren-ambarchi-stephen-omalley-randall-dunn-shade-themes-from-kairos/,Oren Ambarchi||Stephen O’Malley||Randall Dunn,Shade Themes From Kairos,2014,7.4,
7997,/reviews/albums/19391-echo-and-the-bunnymen-meteorites/,Echo and the Bunnymen,Meteorites,2014,6,
7998,/reviews/albums/19257-suburban-light/,The Clientele,Suburban Light,2014,9.1,
7999,/reviews/albums/19384-sharon-van-etten-are-we-there/,Sharon Van Etten,Are We There,2014,8.2,
8000,/reviews/albums/19267-lantlos-melting-sun/,Lantlôs,Melting Sun,2014,8,
8001,/reviews/albums/19092-10-years-of-full-pupp/,null -index error,10 Years Of Full Pupp,2014,7.6,
8002,/reviews/albums/19368-future-death-special-victim/,Future Death,Special Victim,2014,7,
8003,/reviews/albums/19297-blu-good-to-be-home/,Blu,Good to Be Home,2014,6.5,
8004,/reviews/albums/19395-owen-pallett-in-conflict/,Owen Pallett,In Conflict,2014,8,
8005,/reviews/albums/19363-plaid-reachy-prints/,Plaid,Reachy Prints,2014,6,
8006,/reviews/albums/19355-carl-hultgren-tomorrow/,Carl Hultgren,Tomorrow,2014,7,
8007,/reviews/albums/19382-white-sea-in-cold-blood/,White Sea,In Cold Blood,2014,6.8,
8008,/reviews/albums/19385-leyland-kirby-presents-vvm-leyland-kirby-the-death-of-rave-a-partial-flashback-we-drink-to-forget-the-coming-storm/,Leyland Kirby Presents V/Vm||Leyland Kirby,The Death of Rave (A Partial Flashback),2014,7.1,
8009,/reviews/albums/19332-the-roots-and-then-you-shoot-your-cousin/,The Roots,...And Then You Shoot Your Cousin,2014,7.2,
8010,/reviews/albums/19340-datashock-keine-oase-in-sicht/,Datashock,Keine Oase in Sicht,2014,7.5,
8011,/reviews/albums/19345-vangelis-katsoulis-the-sleeping-beauties-a-collection-of-early-and-unreleased-works/,Vangelis Katsoulis,The Sleeping Beauties: A Collection of Early and Unreleased Works,2014,7.3,
8012,/reviews/albums/19390-mac-miller-faces/,Mac Miller,Faces,2014,7.3,
8013,/reviews/albums/19346-traxman-da-mind-of-traxman-vol-2/,Traxman,Da Mind of Traxman Vol. 2,2014,7.5,
8014,/reviews/albums/19258-oasis-definitely-maybe-reissue/,Oasis,Definitely Maybe: Chasing the Sun Edition,2014,8.8,
8015,/reviews/albums/19353-big-boys-lullabies-help-the-brain-grow-no-matter-how-long-the-line-at-the-cafeteria-theres-always-a-seat/,Big Boys,Lullabies Help the Brain Grow,2014,7.8,
8016,/reviews/albums/19348-elijah-and-skilliam-fabriclive-75/,Elijah & Skilliam,Fabriclive 75,2014,6.7,
8017,/reviews/albums/19388-tobacco-ultima-ii-massage/,TOBACCO,Ultima II Massage,2014,6.9,
8018,/reviews/albums/19352-american-football-american-football/,American Football,American Football,2014,8.6,
8019,/reviews/albums/19356-hyperdub-101/,null -index error,Hyperdub 10.1,2014,8.5,
8020,/reviews/albums/19331-mason-bates-stereo-is-king/,Mason Bates,Stereo Is King,2014,7.5,
8021,/reviews/albums/19241-emma-ruth-rundle-some-heavy-ocean/,Emma Ruth Rundle,Some Heavy Ocean,2014,7.4,
8022,/reviews/albums/19389-lewis-lamour/,Lewis,L'amour,2014,8.6,
8023,/reviews/albums/19338-cold-cave-full-cold-moon/,Cold Cave,Full Cold Moon,2014,6.8,
8024,/reviews/albums/19344-coldplay-ghost-stories/,Coldplay,Ghost Stories,2014,4.4,
8025,/reviews/albums/19296-herzog-boys/,Herzog,Boys,2014,7.2,
8026,/reviews/albums/19298-trans-am-volume-x/,Trans Am,Volume X,2014,5,
8027,/reviews/albums/19347-arto-lindsay-the-encyclopedia-of-arto-lindsay/,Arto Lindsay,The Encyclopedia of Arto Lindsay,2014,7.7,
8028,/reviews/albums/19362-boots-winterspringsummerfall/,Boots,WinterSpringSummerFall,2014,5.7,
8029,/reviews/albums/19256-conor-oberst-upside-down-mountain/,Conor Oberst,Upside Down Mountain,2014,6.5,
8030,/reviews/albums/19357-moon-b-ii/,Moon B,II,2014,6.9,
8031,/reviews/albums/19386-sturgill-simpson-metamodern-sounds-in-country-music/,Sturgill Simpson,Metamodern Sounds in Country Music,2014,7.7,
8032,/reviews/albums/19361-2-chainz-freebase-ep/,2 Chainz,FreeBase EP,2014,7.2,
8033,/reviews/albums/19269-agalloch-the-serpent-the-sphere/,Agalloch,The Serpent & the Sphere,2014,8.3,
8034,/reviews/albums/19335-the-pains-of-being-pure-at-heart-days-of-abandon/,The Pains of Being Pure at Heart,Days of Abandon,2014,7.5,
8035,/reviews/albums/19334-sculpture-membrane-pop/,Sculpture,Membrane Pop,2014,6.9,
8036,/reviews/albums/19268-la-sera-hour-of-the-dawn/,La Sera,Hour of the Dawn,2014,7.1,
8037,/reviews/albums/19230-iamsu-sincerely-yours/,Iamsu!,Sincerely Yours,2014,6,
8038,/reviews/albums/19233-young-widows-easy-pain/,Young Widows,Easy Pain,2014,7.9,
8039,/reviews/albums/19333-michael-jackson-xscape/,Michael Jackson,Xscape,2014,4.1,
8040,/reviews/albums/19237-planning-for-burial-desideratum/,Planning for Burial,Desideratum,2014,7.9,
8041,/reviews/albums/19366-wooden-wand-farmers-corner/,Wooden Wand,Farmer's Corner,2014,7.6,
8042,/reviews/albums/19309-fatima-yellow-memories/,Fatima,Yellow Memories,2014,6.8,
8043,/reviews/albums/19365-low-pros-ep-1/,Low Pros,EP 1,2014,6.7,
8044,/reviews/albums/19337-chromeo-white-women/,Chromeo,White Women,2014,7.6,
8045,/reviews/albums/19232-teitanblood-death/,Teitanblood,Death,2014,7.4,
8046,/reviews/albums/19234-amen-dunes-love/,Amen Dunes,Love,2014,7.8,
8047,/reviews/albums/19323-gruff-rhys-american-interior/,Gruff Rhys,American Interior,2014,8,
8048,/reviews/albums/19336-guided-by-voices-cool-planet/,Guided by Voices,Cool Planet,2014,6.2,
8049,/reviews/albums/19329-the-black-keys-turn-blue/,The Black Keys,Turn Blue,2014,5.8,
8050,/reviews/albums/19351-kemialliset-ystavat-alas-rattoisaa-virtaa/,Kemialliset Ystävät,Alas Rattoisaa Virtaa,2014,7.6,
8051,/reviews/albums/19266-sean-nicholas-savage-blue-waterfall/,Sean Nicholas Savage,Bermuda Waterfall,2014,7,
8052,/reviews/albums/19265-mirah-changing-light/,Mirah,Changing Light,2014,6,
8053,/reviews/albums/19327-little-dragon-nabuma-rubberband/,Little Dragon,Nabuma Rubberband,2014,6.8,
8054,/reviews/albums/19326-swans-to-be-kind/,Swans,To Be Kind,2014,9.2,
8055,/reviews/albums/19325-goldlink-the-god-complex/,GoldLink,The God Complex,2014,7.9,
8056,/reviews/albums/19350-mike-adams-at-his-honest-weight-best-of-boiler-room-classics/,Mike Adams At His Honest Weight,Best of Boiler Room Classics,2014,7.8,
8057,/reviews/albums/19354-paws-youth-culture-forever/,PAWS,Youth Culture Forever,2014,7.2,
8058,/reviews/albums/19330-dj-rashad-we-on-1-ep/,DJ Rashad,We On 1 EP,2014,7.8,
8059,/reviews/albums/19320-atmosphere-southsiders/,Atmosphere,Southsiders,2014,6.3,
8060,/reviews/albums/19328-sleaford-mods-divide-and-exit/,Sleaford Mods,Divide and Exit,2014,7.8,
8061,/reviews/albums/19324-nat-baldwin-in-the-hollows/,Nat Baldwin,In the Hollows,2014,5.7,
8062,/reviews/albums/19321-mark-e-product-of-industry/,Mark E,Product of Industry,2014,7,
8063,/reviews/albums/19270-lee-ar-2-tanha/,Lee||Arμ-2,TANHÂ,2014,7.4,
8064,/reviews/albums/19322-lily-allen-sheezus/,Lily Allen,Sheezus,2014,5.4,
8065,/reviews/albums/19231-maria-minerva-histrionic/,Maria Minerva,Histrionic,2014,6.8,
8066,/reviews/albums/19308-sfv-acid-ambers-songs/,SFV Acid,Amber's Stuff,2014,6.6,
8067,/reviews/albums/19263-makthaverskan-ii/,Makthaverskan,II,2014,7.5,
8068,/reviews/albums/19318-fatima-al-qadiri-asiatisch/,Fatima Al Qadiri,Asiatisch,2014,7.2,
8069,/reviews/albums/19317-baths-ocean-death-ep/,Baths,Ocean Death EP,2014,7.8,
8070,/reviews/albums/19194-wold-postsocial/,Wold,Postsocial,2014,8,
8071,/reviews/albums/19212-young-magic-breathing-statues/,Young Magic,Breathing Statues,2014,4,
8072,/reviews/albums/19262-antwon-heavy-hearted-in-doldrums/,Antwon,Heavy Hearted in Doldrums,2014,7.3,
8073,/reviews/albums/19315-the-horrors-luminous/,The Horrors,Luminous,2014,6.7,
8074,/reviews/albums/19314-tune-yards-nikki-nack/,Tune-Yards,Nikki Nack,2014,8.1,
8075,/reviews/albums/19259-wussy-attica/,Wussy,Attica!,2014,7.8,
8076,/reviews/albums/19316-papercuts-life-among-the-savages/,Papercuts,Life Among the Savages,2014,6.7,
8077,/reviews/albums/19264-fujiya-miyagi-artificial-sweeteners/,Fujiya & Miyagi,Artificial Sweeteners,2014,5.8,
8078,/reviews/albums/19313-brian-eno-karl-hyde-someday-world/,Brian Eno||Karl Hyde,Someday World,2014,6.2,
8079,/reviews/albums/19312-lykke-li-i-never-learn/,Lykke Li,I Never Learn,2014,8.4,
8080,/reviews/albums/19307-mincemeat-or-tenspeed-waiting-for-surfin-bird/,Mincemeat or Tenspeed,Waiting for Surfin’ Bird,2014,7.6,
8081,/reviews/albums/19299-creation-rebel-new-age-steppers-threat-to-creation/,Creation Rebel||New Age Steppers,Threat to Creation,2014,8,
8082,/reviews/albums/19260-silkworm-libertine/,Silkworm,Libertine,2014,7,
8083,/reviews/albums/19226-chad-vangaalen-shrink-dust/,Chad VanGaalen,Shrink Dust,2014,7.8,
8084,/reviews/albums/19295-neil-young-a-letter-home/,Neil Young,A Letter Home,2013,6.3,
8085,/reviews/albums/19193-wovenhand-refractory-obdurate/,Wovenhand,Refractory Obdurate,2014,8.2,
8086,/reviews/albums/19294-william-tyler-lost-colony/,William Tyler,Lost Colony,2014,7.3,
8087,/reviews/albums/19303-sd-laika-thats-harakari/,Sd Laika,That's Harakiri,2014,7.1,
8088,/reviews/albums/19222-grace-jones-nightclubbing-deluxe-edition/,Grace Jones,Nightclubbing,2014,9,
8089,/reviews/albums/19287-ramona-lisa-arcadia/,Ramona Lisa,Arcadia,2014,6.8,
8090,/reviews/albums/19243-survival-knife-loose-power/,Survival Knife,Loose Power,2014,7.2,
8091,/reviews/albums/19293-prins-thomas-prins-thomas-iii/,Prins Thomas,Prins Thomas III,2014,7.4,
8092,/reviews/albums/19161-pink-mountaintops-get-back/,Pink Mountaintops,Get Back,2014,4.9,
