,score
335,6.7
336,8.0
337,7.8
338,7.6
339,7.5
340,7.7
341,5.5
342,6.9
343,6.5
344,7.7
345,8.2
346,7.2
347,7.0
348,7.6
349,7.5
350,7.5
351,7.3
352,6.0
353,8.3
354,6.8
355,7.1
356,6.7
357,5.9
358,5.3
359,7.5
360,8.4
361,7.8
362,7.5
363,7.9
364,7.2
365,7.5
366,7.2
367,7.5
368,7.6
369,4.3
370,7.0
371,7.9
372,7.0
373,7.4
374,6.8
375,9.1
376,6.7
377,6.9
378,9.0
379,8.0
380,6.6
381,7.7
382,7.5
383,7.8
384,6.8
385,5.2
386,7.2
387,8.0
388,7.3
389,8.0
390,7.0
391,8.3
392,6.7
393,6.8
394,8.0
395,7.6
396,8.0
397,7.8
398,7.1
399,7.2
400,8.4
401,6.5
402,7.7
403,7.9
404,6.0
405,6.7
406,7.3
407,8.0
408,7.7
409,5.2
410,7.3
411,6.9
412,7.8
413,6.6
414,7.8
415,5.7
416,7.0
417,7.8
418,7.7
419,6.3
420,8.0
421,7.4
422,8.3
423,8.1
424,5.6
425,8.3
426,6.5
427,6.8
428,6.9
429,7.7
430,7.6
431,7.1
432,7.5
433,8.0
434,4.1
435,7.4
436,6.7
437,5.8
438,7.4
439,6.9
440,6.8
441,8.0
442,7.6
443,7.0
444,8.3
445,6.5
446,8.1
447,8.0
448,7.5
449,6.9
450,7.8
451,9.5
452,7.0
453,7.6
454,7.7
455,6.1
456,7.3
457,7.3
458,7.5
459,7.2
460,7.4
461,7.0
462,8.0
463,7.4
464,6.9
465,7.5
466,8.0
467,6.8
468,5.8
469,5.7
470,7.1
471,8.7
472,6.7
473,7.3
474,7.1
475,7.5
476,7.6
477,6.5
478,7.9
479,6.9
480,6.9
481,6.8
482,7.6
483,6.6
484,6.8
485,7.4
486,7.7
487,8.7
488,7.5
489,7.0
490,8.1
491,7.4
492,7.6
493,6.5
494,7.2
495,6.2
496,7.6
497,6.9
498,7.0
499,7.7
500,7.8
501,7.1
502,7.4
503,8.0
504,6.8
505,6.9
506,9.3
507,7.5
508,7.5
509,7.7
510,7.8
511,7.3
512,4.8
513,7.8
514,6.2
515,7.0
516,6.4
517,8.3
518,8.0
519,7.8
520,7.0
521,7.5
522,8.0
523,8.4
524,7.0
525,9.1
526,7.8
527,7.2
528,6.7
529,6.9
530,7.3
531,7.1
532,5.5
533,7.8
534,7.6
535,8.3
536,6.3
537,8.0
538,7.3
539,7.9
540,7.2
541,7.4
542,7.2
543,7.6
544,7.2
545,6.3
546,9.0
547,9.1
548,7.8
549,6.9
550,7.4
551,7.7
552,7.6
553,7.3
554,7.8
555,7.1
556,7.7
557,7.6
558,6.5
559,7.5
560,7.3
561,7.8
562,8.0
563,8.4
564,7.5
565,6.6
566,7.7
567,7.5
568,7.6
569,6.6
570,7.8
571,7.8
572,7.3
573,7.5
574,5.6
575,8.7
576,7.4
577,8.3
578,8.0
579,7.3
580,8.0
581,8.8
582,5.8
583,5.4
584,6.9
585,7.0
586,8.6
587,7.0
588,7.9
589,6.4
590,7.2
591,7.6
592,7.3
593,7.4
594,7.1
595,8.7
596,6.8
597,7.2
598,10.0
599,7.2
600,6.6
601,7.0
602,9.0
603,7.8
604,7.5
605,8.0
606,7.4
607,7.5
608,6.5
609,7.7
610,7.2
611,7.4
612,7.0
613,3.3
614,6.8
615,9.4
616,6.7
617,7.2
618,8.0
619,7.5
620,7.7
621,7.7
622,7.0
623,8.5
624,8.0
625,7.2
626,7.3
627,7.2
628,7.7
629,6.6
630,7.3
631,7.5
632,8.6
633,7.5
634,8.3
635,7.4
636,6.8
637,6.7
638,7.6
639,6.5
640,7.8
641,8.0
642,6.4
643,6.5
644,7.8
645,7.7
646,7.3
647,7.8
648,7.4
649,7.6
650,7.2
651,4.8
652,7.4
653,7.1
654,6.9
655,6.0
656,7.3
657,7.6
658,8.4
659,7.2
660,8.0
661,7.4
662,8.0
663,7.5
664,6.7
665,7.7
666,8.0
667,7.9
668,7.6
669,7.6
670,9.5
671,7.1
672,6.7
673,6.9
674,8.0
675,7.2
676,7.4
677,7.0
678,5.8
679,7.7
680,6.5
681,5.5
682,7.2
683,7.2
684,8.0
685,7.4
686,7.7
687,6.9
688,7.3
689,7.9
690,9.0
691,6.0
692,7.8
693,7.2
694,7.0
695,4.4
696,8.6
697,7.3
698,6.7
699,7.8
700,7.8
701,7.7
702,7.3
703,5.8
704,8.1
705,5.0
706,7.7
707,8.0
708,7.2
709,7.7
710,7.3
711,7.4
712,7.7
713,7.0
714,9.3
715,7.8
716,7.3
717,7.1
718,8.3
719,7.5
720,7.3
721,7.4
722,7.5
723,7.5
724,7.3
725,8.0
726,7.3
727,7.5
728,6.8
729,6.4
730,7.5
731,8.3
732,7.6
733,7.9
734,7.1
735,8.8
736,7.8
737,7.6
738,7.0
739,6.6
740,7.4
741,8.0
742,7.0
743,6.1
744,7.5
745,7.3
746,7.0
747,7.6
748,7.5
749,8.0
750,6.9
751,7.3
752,6.7
753,2.9
754,7.5
755,6.9
756,9.3
757,6.0
758,7.2
759,5.8
760,7.3
761,7.4
762,7.1
763,10.0
764,8.8
765,8.5
766,8.0
767,8.2
768,7.0
769,5.2
770,8.0
771,6.8
772,5.7
773,7.6
774,7.7
775,7.6
776,7.4
777,7.7
778,7.2
779,8.0
780,7.3
781,10.0
782,7.4
783,6.2
784,7.2
785,8.1
786,5.9
787,7.7
788,7.8
789,7.7
790,7.2
791,5.8
792,7.6
793,8.0
794,7.8
795,7.4
796,7.2
797,9.0
798,7.5
799,7.9
800,7.6
801,7.3
802,8.0
803,5.7
804,6.1
805,7.6
806,7.2
807,8.3
808,7.5
809,6.5
810,7.3
811,7.3
812,7.0
813,7.2
814,7.4
815,7.2
816,7.8
817,6.7
818,7.7
819,7.3
820,7.6
821,10.0
822,5.2
823,7.1
824,8.5
825,7.0
826,7.4
827,7.2
828,4.9
829,6.8
830,7.4
831,7.8
832,7.7
833,8.0
834,7.5
835,7.0
836,8.0
837,5.3
838,6.9
839,7.6
840,6.8
841,6.4
842,6.5
843,7.2
844,6.2
845,8.0
846,7.6
847,8.7
848,7.5
849,7.3
850,7.4
851,6.0
852,7.6
853,6.8
854,7.8
855,8.2
856,6.1
857,7.9
858,7.8
859,7.9
860,6.9
861,8.0
862,7.5
863,8.8
864,6.4
865,8.0
866,9.0
867,6.3
868,6.7
869,7.7
870,5.8
871,4.7
872,7.5
873,6.3
874,6.2
875,7.4
876,6.1
877,6.9
878,7.7
879,5.1
880,6.5
881,8.4
882,4.5
883,7.8
884,7.1
885,8.6
886,6.4
887,7.1
888,7.3
889,7.8
890,7.8
891,7.4
892,7.7
893,7.7
894,7.1
895,7.3
896,7.4
897,6.3
898,7.1
899,7.5
900,7.0
901,8.0
902,5.9
903,5.1
904,8.4
905,7.1
906,7.8
907,7.3
908,8.5
909,7.2
910,6.9
911,10.0
912,6.7
913,7.5
914,8.0
915,7.7
916,7.9
917,7.5
918,7.5
919,8.5
920,7.3
921,6.9
922,7.5
923,7.3
924,8.0
925,6.6
926,5.0
927,7.8
928,6.5
929,7.0
930,7.2
931,8.2
932,7.4
933,7.7
934,7.8
935,9.5
936,7.1
937,7.6
938,6.2
939,7.8
940,7.7
941,7.2
942,7.8
943,7.8
944,7.1
945,6.8
946,6.8
947,6.4
948,7.1
949,7.5
950,6.8
951,8.0
952,8.2
953,7.2
954,7.1
955,8.7
956,6.5
957,8.0
958,7.8
959,8.2
960,7.9
961,7.3
962,7.7
963,6.9
964,8.0
965,7.2
966,6.2
967,7.2
968,7.4
969,4.5
970,6.9
971,6.2
972,7.6
973,7.5
974,5.0
975,8.0
976,7.3
977,7.1
978,7.7
979,7.2
980,7.0
981,7.7
982,8.3
983,7.9
984,7.1
985,7.9
986,7.1
987,5.7
988,9.2
989,7.4
990,7.0
991,7.8
992,9.0
993,6.9
994,7.0
995,7.4
996,7.8
997,6.7
998,4.1
999,7.4
1000,7.7
1001,4.8
1002,6.8
1003,7.3
1004,5.2
1005,5.9
1006,6.9
1007,7.4
1008,6.4
1009,6.6
1010,7.2
1011,7.6
1012,5.9
1013,7.0
1014,7.7
1015,8.5
1016,6.4
1017,6.3
1018,7.0
1019,7.9
1020,6.1
1021,7.2
1022,8.0
1023,8.0
1024,7.8
1025,8.0
1026,7.4
1027,6.8
1028,7.1
1029,6.5
1030,7.4
1031,7.6
1032,6.7
1033,5.5
1034,7.1
1035,6.7
1036,8.4
1037,7.8
1038,4.9
1039,6.7
1040,6.5
1041,5.9
1042,7.4
1043,7.6
1044,6.6
1045,7.3
1046,7.6
1047,7.3
1048,7.7
1049,7.7
1050,8.5
1051,5.9
1052,7.4
1053,5.8
1054,6.0
1055,7.5
1056,7.0
1057,6.7
1058,5.3
1059,6.3
1060,6.5
1061,7.7
1062,5.9
1063,6.8
1064,6.7
1065,7.3
1066,6.7
1067,7.2
1068,7.3
1069,8.0
1070,7.5
1071,7.6
1072,6.8
1073,7.4
1074,7.1
1075,7.5
1076,5.2
1077,6.8
1078,7.4
1079,6.5
1080,7.4
1081,7.0
1082,7.7
1083,6.8
1084,7.4
1085,7.5
1086,6.9
1087,8.0
1088,6.3
1089,7.4
1090,7.7
1091,6.0
1092,7.3
1093,8.2
1094,7.4
1095,7.7
1096,6.7
1097,6.3
1098,7.6
1099,6.8
1100,7.7
1101,7.6
1102,8.5
1103,7.4
1104,7.8
1105,10.0
1106,6.7
1107,7.1
1108,7.9
1109,5.8
1110,8.0
1111,7.0
1112,7.4
1113,8.1
1114,4.3
1115,10.0
1116,6.1
1117,3.5
1118,6.0
1119,7.7
1120,6.4
1121,8.0
1122,6.9
1123,7.5
1124,8.0
1125,7.5
1126,8.3
1127,8.0
1128,6.1
1129,6.9
1130,7.3
1131,4.8
1132,7.5
1133,7.4
1134,8.2
1135,7.5
1136,7.4
1137,6.5
1138,7.4
1139,6.5
1140,7.8
1141,7.5
1142,7.0
1143,7.7
1144,6.4
1145,7.0
1146,10.0
1147,6.2
1148,7.8
1149,7.4
1150,8.3
1151,8.0
1152,5.8
1153,7.4
1154,8.3
1155,6.2
1156,6.7
1157,7.3
1158,6.8
1159,6.1
1160,7.6
1161,7.9
1162,7.4
1163,7.3
1164,6.0
1165,6.9
1166,6.1
1167,7.8
1168,7.5
1169,10.0
1170,9.4
1171,8.3
1172,9.1
1173,8.4
1174,8.0
1175,7.6
1176,7.5
1177,7.7
1178,7.7
1179,7.5
1180,7.4
1181,7.9
1182,6.9
1183,7.0
1184,8.1
1185,7.4
1186,7.4
1187,9.3
1188,7.6
1189,7.0
1190,8.0
1191,7.4
1192,8.0
1193,7.7
1194,7.7
1195,7.3
1196,8.7
1197,7.7
1198,7.2
1199,7.6
1200,9.4
1201,7.9
1202,7.7
1203,7.7
1204,7.6
1205,7.3
1206,7.5
1207,6.9
1208,8.4
1209,7.7
1210,6.5
1211,7.5
1212,6.8
1213,8.1
1214,6.9
1215,5.4
1216,8.2
1217,7.7
1218,7.0
1219,7.4
1220,7.8
1221,7.5
1222,7.9
1223,7.3
1224,5.6
1225,7.7
1226,7.8
1227,7.4
1228,6.8
1229,7.7
1230,8.0
1231,7.2
1232,7.5
1233,7.4
1234,7.4
1235,6.8
1236,4.0
1237,6.9
1238,7.3
1239,5.0
1240,6.5
1241,7.2
1242,6.1
1243,7.3
1244,7.8
1245,6.6
1246,6.3
1247,6.1
1248,7.4
1249,6.5
1250,8.3
1251,6.8
1252,7.2
1253,6.1
1254,4.5
1255,7.1
1256,8.3
1257,7.6
1258,7.3
1259,7.4
1260,7.8
1261,6.9
1262,7.8
1263,7.7
1264,6.8
1265,7.5
1266,8.4
1267,6.7
1268,4.7
1269,7.8
1270,7.2
1271,7.5
1272,7.1
1273,8.4
1274,6.5
1275,7.8
1276,7.2
1277,9.5
1278,7.1
1279,7.8
1280,6.9
1281,9.0
1282,6.6
1283,7.8
1284,6.5
1285,7.4
1286,8.0
1287,5.8
1288,8.8
1289,7.2
1290,5.9
1291,6.4
1292,7.8
1293,7.7
1294,7.5
1295,8.1
1296,8.1
1297,8.0
1298,7.1
1299,6.9
1300,7.8
1301,7.8
1302,6.4
1303,6.5
1304,8.9
1305,8.0
1306,7.7
1307,7.3
1308,7.6
1309,6.5
1310,7.6
1311,7.4
1312,7.2
1313,8.1
1314,7.4
1315,7.2
1316,8.4
1317,7.7
1318,7.7
1319,8.2
1320,5.6
1321,7.1
1322,8.4
1323,8.0
1324,7.1
1325,8.2
1326,6.8
1327,6.0
1328,5.0
1329,7.3
1330,7.1
1331,7.7
1332,3.5
1333,7.2
1334,8.0
1335,7.4
1336,7.3
1337,6.3
1338,6.5
1339,9.2
1340,7.8
1341,7.3
1342,7.2
1343,8.6
1344,6.2
1345,7.0
1346,6.4
1347,8.4
1348,3.6
1349,7.3
1350,7.8
1351,7.6
1352,7.7
1353,8.6
1354,6.7
1355,6.8
1356,8.6
1357,8.0
1358,8.2
1359,8.9
1360,7.2
1361,7.9
1362,7.8
1363,6.1
1364,5.9
1365,6.5
1366,6.7
1367,7.8
1368,7.1
1369,7.8
1370,5.9
1371,6.3
1372,6.7
1373,6.8
1374,7.8
1375,5.6
1376,8.0
1377,7.1
1378,7.1
1379,7.7
1380,8.0
1381,7.7
1382,7.2
1383,7.2
1384,5.4
1385,7.6
1386,7.1
1387,5.4
1388,6.7
1389,8.1
1390,6.4
1391,7.8
1392,8.1
1393,7.6
1394,7.3
1395,9.4
1396,6.3
1397,7.6
1398,7.6
1399,4.6
1400,6.3
1401,7.6
1402,8.0
1403,7.3
1404,6.8
1405,7.5
1406,7.1
1407,7.3
1408,6.7
1409,6.6
1410,7.2
1411,8.0
1412,7.3
1413,7.7
1414,8.1
1415,7.1
1416,7.3
1417,7.6
1418,7.6
1419,7.8
1420,7.8
1421,7.5
1422,6.5
1423,8.0
1424,8.0
1425,6.7
1426,7.9
1427,7.5
1428,7.8
1429,7.2
1430,8.4
1431,8.0
1432,6.9
1433,7.8
1434,6.7
1435,6.6
1436,7.0
1437,9.0
1438,8.2
1439,8.1
1440,7.7
1441,6.7
1442,8.5
1443,6.7
1444,7.4
1445,8.3
1446,7.5
1447,7.0
1448,7.8
1449,6.5
1450,7.8
1451,6.6
1452,6.7
1453,3.5
1454,7.4
1455,5.5
1456,5.8
1457,7.0
1458,6.1
1459,5.2
1460,6.8
1461,4.0
1462,5.8
1463,7.3
1464,8.8
1465,6.6
1466,6.8
1467,7.1
1468,7.5
1469,6.5
1470,7.5
1471,6.8
1472,5.3
1473,5.5
1474,8.1
1475,6.9
1476,7.3
1477,6.3
1478,7.5
1479,6.7
1480,7.4
1481,7.8
1482,7.4
1483,8.0
1484,3.9
1485,8.0
1486,6.9
1487,6.4
1488,8.3
1489,7.7
1490,7.0
1491,5.2
1492,7.6
1493,7.2
1494,5.8
1495,6.9
1496,7.8
1497,4.9
1498,8.4
1499,7.4
1500,9.5
1501,7.4
1502,7.9
1503,6.8
1504,6.8
1505,7.1
1506,8.2
1507,6.2
1508,3.8
1509,8.1
1510,5.1
1511,7.6
1512,7.6
1513,8.0
1514,7.5
1515,7.7
1516,8.1
1517,8.4
1518,7.6
1519,7.5
1520,9.4
1521,9.1
1522,8.3
1523,7.5
1524,8.0
1525,6.5
1526,6.8
1527,7.3
1528,5.3
1529,8.6
1530,7.2
1531,6.4
1532,8.0
1533,6.7
1534,6.8
1535,6.9
1536,7.6
1537,8.5
1538,7.5
1539,6.8
1540,4.7
1541,7.8
1542,7.0
1543,7.5
1544,7.4
1545,7.3
1546,7.8
1547,7.7
1548,7.5
1549,6.6
1550,6.9
1551,7.2
1552,8.0
1553,8.0
1554,7.9
1555,7.2
1556,7.4
1557,7.6
1558,7.0
1559,7.5
1560,9.4
1561,8.1
1562,7.3
1563,8.3
1564,7.2
1565,6.7
1566,8.3
1567,6.5
1568,6.5
1569,7.6
1570,6.4
1571,6.3
1572,6.8
1573,8.2
1574,8.0
1575,7.8
1576,7.4
1577,8.4
1578,6.8
1579,7.6
1580,8.0
1581,8.8
1582,7.0
1583,7.2
1584,7.4
1585,4.3
1586,6.0
1587,7.0
1588,7.5
1589,7.3
1590,7.8
1591,7.3
1592,8.0
1593,8.0
1594,7.6
1595,10.0
1596,7.8
1597,7.5
1598,8.3
1599,7.8
1600,7.4
1601,6.8
1602,8.8
1603,5.2
1604,7.5
1605,8.0
1606,7.8
1607,6.2
1608,8.5
1609,6.4
1610,5.5
1611,8.3
1612,5.8
1613,7.6
1614,7.1
1615,7.4
1616,6.7
1617,7.8
1618,4.9
1619,7.4
1620,6.8
1621,9.1
1622,7.5
1623,7.5
1624,9.5
1625,6.5
1626,6.2
1627,6.9
1628,8.9
1629,7.9
1630,7.5
1631,7.4
1632,4.6
1633,7.9
1634,6.9
1635,6.0
1636,8.3
1637,8.1
1638,5.8
1639,7.8
1640,7.6
1641,8.0
1642,7.5
1643,8.0
1644,7.0
1645,5.9
1646,6.4
1647,7.0
1648,7.5
1649,7.4
1650,7.2
1651,6.9
1652,6.5
1653,6.2
1654,7.8
1655,7.8
1656,7.0
1657,7.5
1658,8.4
1659,7.3
1660,7.5
1661,8.0
1662,9.3
1663,5.9
1664,6.8
1665,6.8
1666,7.2
1667,7.5
1668,7.2
1669,8.0
1670,7.8
1671,7.1
1672,7.4
1673,5.4
1674,5.6
1675,6.8
1676,7.7
1677,8.4
1678,7.0
1679,7.1
1680,7.5
1681,8.0
1682,7.2
1683,7.7
1684,6.8
1685,6.6
1686,7.9
1687,8.0
1688,7.3
1689,7.8
1690,7.6
1691,6.6
1692,7.3
1693,7.6
1694,7.7
1695,6.5
1696,8.5
1697,7.6
1698,7.6
1699,8.2
1700,7.9
1701,8.1
1702,6.5
1703,8.0
1704,7.0
1705,6.9
1706,7.4
1707,7.8
1708,7.3
1709,7.6
1710,6.7
1711,7.0
1712,6.1
1713,7.8
1714,9.4
1715,9.8
1716,6.8
1717,8.5
1718,7.6
1719,7.7
1720,7.2
1721,8.0
1722,7.1
1723,7.2
1724,7.1
1725,9.2
1726,7.2
1727,6.9
1728,7.7
1729,10.0
1730,7.6
1731,7.3
1732,7.8
1733,8.0
1734,6.6
1735,7.2
1736,7.9
1737,6.8
1738,6.9
1739,4.5
1740,7.1
1741,6.2
1742,7.6
1743,7.7
1744,6.7
1745,6.7
1746,7.4
1747,7.5
1748,7.6
1749,8.0
1750,5.4
1751,7.7
1752,9.1
1753,5.0
1754,5.6
1755,7.8
1756,8.0
1757,4.8
1758,7.5
1759,7.5
1760,7.4
1761,7.7
1762,7.6
1763,7.8
1764,6.4
1765,7.5
1766,7.3
1767,7.3
1768,7.4
1769,6.5
1770,7.9
1771,3.0
1772,7.4
1773,4.3
1774,7.3
1775,7.3
1776,9.3
1777,8.0
1778,7.3
1779,7.5
1780,7.4
1781,6.4
1782,7.5
1783,6.2
1784,8.0
1785,5.8
1786,6.0
1787,7.6
1788,6.3
1789,7.7
1790,7.4
1791,6.1
1792,8.1
1793,7.5
1794,7.0
1795,7.8
1796,7.3
1797,7.7
1798,6.9
1799,8.0
1800,7.5
1801,5.9
1802,7.6
1803,6.2
1804,7.1
1805,7.2
1806,6.7
1807,4.7
1808,7.6
1809,6.9
1810,7.4
1811,7.4
1812,7.2
1813,7.7
1814,6.8
1815,6.7
1816,9.5
1817,8.6
1818,7.2
1819,6.6
1820,7.2
1821,8.5
1822,7.9
1823,7.6
1824,7.4
1825,7.4
1826,5.5
1827,6.8
1828,7.3
1829,7.4
1830,8.5
1831,7.7
1832,7.6
1833,7.4
1834,7.7
1835,8.0
1836,8.0
1837,7.4
1838,7.8
1839,7.8
1840,7.7
1841,7.2
1842,7.8
1843,5.6
1844,8.0
1845,6.4
1846,8.1
1847,8.0
1848,7.0
1849,8.5
1850,7.0
1851,5.3
1852,7.4
1853,7.3
1854,7.3
1855,8.0
1856,7.9
1857,7.6
1858,8.0
1859,9.4
1860,8.5
1861,7.3
1862,6.5
1863,8.3
1864,7.8
1865,6.0
1866,7.8
1867,8.1
1868,7.3
1869,6.8
1870,7.2
1871,7.5
1872,6.5
1873,7.6
1874,7.8
1875,7.6
1876,7.4
1877,7.5
1878,7.8
1879,7.3
1880,7.8
1881,7.8
1882,7.3
1883,8.1
1884,7.2
1885,7.6
1886,7.3
1887,7.4
1888,8.3
1889,8.0
1890,6.0
1891,6.5
1892,7.6
1893,7.7
1894,6.8
1895,6.6
1896,8.0
1897,7.6
1898,5.0
1899,7.6
1900,7.6
1901,6.9
1902,7.2
1903,5.9
1904,8.7
1905,6.3
1906,8.0
1907,7.7
1908,7.4
1909,8.5
1910,7.7
1911,7.0
1912,3.2
1913,7.7
1914,8.1
1915,7.6
1916,8.0
1917,7.2
1918,7.6
1919,7.8
1920,4.8
1921,6.1
1922,8.4
1923,6.6
1924,7.2
1925,6.8
1926,5.7
1927,7.8
1928,7.6
1929,7.5
1930,9.0
1931,7.9
1932,6.9
1933,7.3
1934,7.5
1935,7.3
1936,7.9
1937,3.8
1938,7.4
1939,4.2
1940,7.3
1941,6.9
1942,7.7
1943,6.7
1944,7.5
1945,7.6
1946,8.1
1947,3.5
1948,8.5
1949,7.7
1950,7.6
1951,9.5
1952,7.7
1953,8.0
1954,8.0
1955,7.2
1956,6.9
1957,7.7
1958,7.7
1959,7.7
1960,5.8
1961,5.9
1962,6.8
1963,7.6
1964,7.7
1965,5.5
1966,7.0
1967,7.7
1968,7.7
1969,9.0
1970,5.6
1971,7.3
1972,7.0
1973,7.7
1974,8.0
1975,7.8
1976,8.3
1977,7.5
1978,7.2
1979,7.6
1980,6.3
1981,6.0
1982,7.8
1983,7.6
1984,7.6
1985,6.4
1986,7.9
1987,3.4
1988,6.8
1989,6.9
1990,8.0
1991,7.4
1992,7.4
1993,8.4
1994,6.8
1995,4.5
1996,5.1
1997,7.6
1998,7.9
1999,8.0
2000,7.4
2001,5.2
2002,7.6
2003,7.3
2004,7.6
2005,7.7
2006,7.5
2007,6.6
2008,7.2
2009,7.2
2010,10.0
2011,5.5
2012,7.5
2013,7.2
2014,8.4
2015,7.8
2016,8.0
2017,7.7
2018,7.4
2019,6.5
2020,7.6
2021,6.1
2022,7.8
2023,6.8
2024,7.6
2025,8.0
2026,7.4
2027,7.9
2028,7.0
2029,5.5
2030,6.9
2031,8.8
2032,6.6
2033,8.6
2034,7.7
2035,7.2
2036,6.9
2037,6.5
2038,7.0
2039,8.1
2040,7.8
2041,7.4
2042,7.6
2043,7.5
2044,7.3
2045,5.8
2046,5.9
2047,6.8
2048,9.4
2049,8.4
2050,7.7
2051,9.4
2052,7.0
2053,8.4
2054,7.5
2055,7.8
2056,7.5
2057,8.0
2058,7.7
2059,6.8
2060,6.8
2061,5.3
2062,7.0
2063,7.3
2064,10.0
2065,7.3
2066,6.9
2067,7.8
2068,3.1
2069,7.8
2070,6.8
2071,7.4
2072,7.7
2073,9.4
2074,7.4
2075,7.6
2076,6.2
2077,8.2
2078,7.4
2079,7.8
2080,7.2
2081,8.3
2082,7.3
2083,7.3
2084,7.7
2085,7.2
2086,7.2
2087,7.7
2088,7.5
2089,7.4
2090,6.4
2091,7.6
2092,7.4
2093,6.6
2094,7.2
2095,8.0
2096,7.0
2097,3.0
2098,6.1
2099,7.5
2100,7.7
2101,6.5
2102,6.9
2103,8.0
2104,8.1
2105,8.5
2106,6.7
2107,9.5
2108,7.4
2109,7.6
2110,6.8
2111,7.7
2112,7.3
2113,7.8
2114,8.0
2115,6.9
2116,7.5
2117,7.4
2118,7.3
2119,7.7
2120,5.7
2121,8.3
2122,3.4
2123,7.3
2124,7.1
2125,9.2
2126,8.0
2127,7.3
2128,7.9
2129,6.8
2130,8.8
2131,6.8
2132,7.7
2133,7.8
2134,8.5
2135,8.3
2136,7.5
2137,7.2
2138,7.0
2139,5.7
2140,7.9
2141,7.7
